iter	Passed	Remaining
351	4875	8975
352	4883	8950
353	4893	8929
354	4901	8905
355	4909	8881
356	4918	8859
357	4928	8837
358	4938	8817
359	4946	8793
360	4955	8771
361	4964	8750
362	4974	8728
363	4983	8706
364	4990	8682
365	4999	8660
366	5007	8637
367	5016	8615
368	5025	8594
369	5035	8573
370	5043	8550
371	5052	8529
372	5062	8509
373	5070	8487
374	5079	8466
375	5088	8445
376	5097	8424
377	5106	8402
378	5116	8383
379	5125	8363
380	5135	8343
381	5145	8323
382	5153	8302
383	5161	8279
384	5171	8260
385	5179	8239
386	5188	8219
387	5198	8200
388	5208	8181
389	5217	8160
390	5226	8139
391	5234	8118
392	5244	8100
393	5253	8080
394	5262	8060
395	5271	8040
396	5280	8020
397	5290	8001
398	5300	7983
399	5308	7962
400	5317	7943
401	5326	7923
402	5335	7904
403	5344	7885
404	5357	7871
405	5368	7854
406	5376	7834
407	5385	7814
408	5393	7793
409	5403	7775
410	5413	7758
411	5422	7739
412	5432	7721
413	5441	7701
414	5451	7684
415	5461	7667
416	5471	7649
417	5481	7631
418	5488	7611
419	5498	7593
420	5507	7575
421	5516	7556
422	5526	7537
423	5535	7519
424	5545	7502
425	5553	7483
426	5564	7467
427	5573	7448
428	5582	7430
429	5592	7413
430	5601	7395
431	5611	7378
432	5621	7360
433	5631	7344
434	5640	7326
435	5650	7309
436	5660	7292
437	5669	7275
438	5680	7258
439	5689	7241
440	5699	7223
441	5707	7205
442	5716	7187
443	5725	7170
444	5735	7153
445	5745	7137
446	5755	7120
447	5764	7102
448	5774	7086
449	5784	7069
450	5793	7052
451	5802	7035
452	5813	7019
453	5822	7001
454	5831	6984
455	5841	6968
456	5851	6952
457	5861	6936
458	5870	6918
459	5880	6902
460	5889	6886
461	5898	6869
462	5908	6852
463	5917	6835
464	5927	6819
465	5935	6801
466	5944	6784
467	5954	6768
468	5963	6752
469	5973	6735
470	5982	6719
471	5991	6702
472	6000	6686
473	6009	6668
474	6019	6652
475	6028	6636
476	6039	6621
477	6048	6605
478	6058	6589
479	6066	6572
480	6077	6557
481	6086	6541
482	6095	6524
483	6105	6508
484	6113	6491
485	6122	6475
486	6132	6459
487	6142	6444
488	6151	6427
489	6160	6412
490	6170	6396
491	6179	6380
492	6189	6365
493	6199	6350
494	6209	6335
495	6220	6320
496	6228	6303
497	6237	6287
498	6246	6271
499	6256	6256
500	6266	6240
501	6276	6226
502	6286	6211
503	6295	6195
504	6306	6181
505	6314	6164
506	6323	6148
507	6333	6133
508	6344	6119
509	6353	6104
510	6361	6087
511	6370	6071
512	6381	6058
513	6390	6041
514	6399	6026
515	6408	6011
516	6418	5996
517	6429	5982
518	6439	5967
519	6449	5953
520	6459	5939
521	6468	5923
522	6477	5907
523	6485	5891
524	6493	5875
525	6503	5860
526	6511	5844
527	6520	5828
528	6529	5813
529	6538	5797
530	6548	5783
531	6557	5768
532	6567	5754
533	6576	5738
534	6585	5723
535	6595	5709
536	6604	5693
537	6612	5678
538	6622	5663
539	6630	5648
540	6639	5633
541	6648	5618
542	6658	5603
543	6667	5589
544	6676	5573
545	6686	5560
546	6696	5545
547	6705	5530
548	6715	5516
549	6725	5502
550	6734	5487
551	6745	5474
552	6753	5458
553	6763	5444
554	6772	5430
555	6782	5416
556	6792	5402
557	6802	5388
558	6810	5373
559	6818	5357
560	6827	5342
561	6836	5327
562	6846	5314
563	6855	5299
564	6865	5285
565	6873	5270
566	6882	5255
567	6890	5240
568	6900	5226
569	6909	5212
570	6917	5197
571	6926	5182
572	6936	5168
573	6947	5155
574	6956	5141
575	6965	5127
576	6974	5113
577	6983	5098
578	6991	5083
579	6999	5068
580	7008	5054
581	7017	5039
582	7026	5025
583	7034	5011
584	7044	4997
585	7054	4984
586	7063	4969
587	7072	4955
588	7081	4941
589	7090	4927
590	7100	4913
591	7109	4899
592	7118	4885
593	7127	4871
594	7135	4857
595	7146	4844
596	7154	4829
597	7164	4816
598	7173	4802
599	7183	4788
600	7191	4774
601	7201	4761
602	7211	4747
603	7221	4734
604	7230	4720
605	7240	4707
606	7248	4693
607	7258	4679
608	7268	4666
609	7278	4653
610	7288	4640
611	7297	4626
612	7306	4612
613	7315	4599
614	7324	4584
615	7332	4570
616	7340	4556
617	7348	4542
618	7358	4528
619	7367	4515
620	7374	4500
621	7384	4487
622	7394	4474
623	7403	4461
624	7412	4447
625	7420	4433
626	7428	4419
627	7436	4405
628	7445	4391
629	7454	4378
630	7462	4364
631	7472	4350
632	7481	4337
633	7490	4324
634	7499	4310
635	7507	4296
636	7517	4283
637	7525	4270
638	7534	4256
639	7544	4243
640	7554	4231
641	7563	4217
642	7572	4204
643	7581	4191
644	7590	4177
645	7599	4164
646	7609	4151
647	7618	4138
648	7626	4124
649	7635	4111
650	7644	4098
651	7653	4085
652	7662	4071
653	7670	4057
654	7679	4044
655	7688	4031
656	7697	4018
657	7705	4005
658	7713	3991
659	7722	3978
660	7731	3965
661	7740	3951
662	7748	3938
663	7757	3925
664	7766	3912
665	7775	3899
666	7784	3886
667	7792	3872
668	7801	3859
669	7809	3846
670	7818	3833
671	7826	3820
672	7834	3806
673	7843	3793
674	7851	3780
675	7860	3767
676	7883	3761
677	7914	3758
678	7936	3751
679	7945	3738
680	7954	3726
681	7967	3715
682	7976	3702
683	7985	3689
684	7993	3676
685	8003	3663
686	8012	3650
687	8022	3637
688	8030	3624
689	8038	3611
690	8048	3598
691	8058	3586
692	8066	3573
693	8077	3561
694	8086	3548
695	8094	3535
696	8104	3523
697	8114	3510
698	8123	3497
699	8132	3485
700	8140	3472
701	8149	3459
702	8158	3446
703	8168	3434
704	8176	3421
705	8184	3408
706	8192	3395
707	8201	3382
708	8211	3370
709	8220	3357
710	8229	3345
711	8238	3332
712	8246	3319
713	8256	3307
714	8265	3294
715	8274	3281
716	8283	3269
717	8291	3256
718	8299	3243
719	8308	3231
720	8317	3218
721	8326	3206
722	8336	3193
723	8344	3181
724	8353	3168
725	8362	3156
726	8371	3143
727	8381	3131
728	8390	3119
729	8399	3106
730	8408	3094
731	8417	3081
732	8425	3069
733	8434	3056
734	8443	3044
735	8451	3031
736	8461	3019
737	8470	3007
738	8479	2994
739	8488	2982
740	8498	2970
741	8506	2957
742	8516	2945
743	8525	2933
744	8534	2921
745	8542	2908
746	8551	2896
747	8558	2883
748	8567	2870
749	8576	2858
750	8584	2846
751	8593	2833
752	8602	2821
753	8611	2809
754	8621	2797
755	8632	2786
756	8641	2773
757	8649	2761
758	8658	2749
759	8667	2736
760	8676	2724
761	8685	2712
762	8694	2700
763	8703	2688
764	8713	2676
765	8721	2664
766	8730	2652
767	8739	2640
768	8749	2628
769	8759	2616
770	8767	2604
771	8776	2592
772	8787	2580
773	8796	2568
774	8804	2556
775	8814	2544
776	8822	2532
777	8831	2520
778	8840	2507
779	8848	2495
780	8856	2483
781	8865	2471
782	8874	2459
783	8882	2447
784	8891	2435
785	8901	2423
786	8911	2411
787	8919	2399
788	8927	2387
789	8937	2375
790	8945	2363
791	8954	2351
792	8962	2339
793	8971	2327
794	8979	2315
795	8988	2303
796	8997	2291
797	9007	2279
798	9015	2267
799	9024	2256
800	9032	2244
801	9041	2232
802	9050	2220
803	9058	2208
804	9066	2196
805	9075	2184
806	9084	2172
807	9092	2160
808	9101	2148
809	9111	2137
810	9120	2125
811	9129	2113
812	9138	2102
813	9148	2090
814	9157	2078
815	9166	2066
816	9175	2055
817	9185	2043
818	9193	2031
819	9202	2019
820	9211	2008
821	9220	1996
822	9229	1984
823	9237	1972
824	9246	1961
825	9255	1949
826	9264	1937
827	9272	1926
828	9280	1914
829	9289	1902
830	9298	1890
831	9306	1879
832	9317	1867
833	9325	1856
834	9334	1844
835	9343	1832
836	9352	1821
837	9361	1809
838	9372	1798
839	9382	1787
840	9391	1775
841	9400	1763
842	9408	1752
843	9417	1740
844	9426	1729
845	9434	1717
846	9442	1705
847	9450	1693
848	9460	1682
849	9469	1671
850	9477	1659
851	9485	1647
852	9494	1636
853	9503	1624
854	9512	1613
855	9521	1601
856	9531	1590
857	9540	1578
858	9548	1567
859	9558	1555
860	9566	1544
861	9575	1532
862	9583	1521
863	9592	1509
864	9601	1498
865	9610	1487
866	9620	1475
867	9630	1464
868	9639	1453
869	9648	1441
870	9657	1430
871	9665	1418
872	9673	1407
873	9681	1395
874	9690	1384
875	9698	1372
876	9706	1361
877	9716	1350
878	9725	1338
879	9734	1327
880	9743	1316
881	9753	1304
882	9761	1293
883	9770	1282
884	9778	1270
885	9786	1259
886	9794	1247
887	9804	1236
