iter	MultiClass
182	0.4291075605
183	0.4289860796
184	0.4288981686
185	0.4287638297
186	0.4285672106
187	0.428452471
188	0.4282974878
189	0.4281728162
190	0.4279876749
191	0.4278822157
192	0.4277215048
193	0.42753836
194	0.4273685477
195	0.4273216585
196	0.4272436625
197	0.4269471635
198	0.4268917797
199	0.4267970453
200	0.4266761633
201	0.4265995925
202	0.4265441216
203	0.4264407388
204	0.4263436111
205	0.426206363
206	0.4260877272
207	0.4259988978
208	0.4259042975
209	0.4258453085
210	0.425621785
211	0.4255813055
212	0.4254761731
213	0.4254080717
214	0.425334927
215	0.4252521057
216	0.4251128269
217	0.425012323
218	0.4248823799
219	0.4247814045
220	0.4247158903
221	0.4246019092
222	0.4245225988
223	0.4243768831
224	0.4242763269
225	0.4241555335
226	0.4240427586
227	0.4239316822
228	0.4238191043
229	0.423709051
230	0.4236499717
231	0.4234839546
232	0.4234107821
233	0.4232414271
234	0.4231225313
235	0.4229588877
236	0.4228096432
237	0.4226885611
238	0.4224809718
239	0.4223766339
240	0.4223320058
241	0.4222584262
242	0.4221865976
243	0.422075122
244	0.4219290246
245	0.421817796
246	0.4216772153
247	0.4215723515
248	0.4215239475
249	0.4214105836
250	0.4213310468
251	0.4212365346
252	0.4211619629
253	0.4210382871
254	0.4210012061
255	0.4209075758
256	0.4208228644
257	0.4207739426
258	0.4207408866
259	0.4206362064
260	0.4205520255
261	0.4204854383
262	0.4201841135
263	0.4201291351
264	0.4200984972
265	0.4200638115
266	0.4200025697
267	0.4199352609
268	0.4198123476
269	0.4196917574
270	0.4196163763
271	0.4194296176
272	0.4193766034
273	0.4192694538
274	0.4192110661
275	0.4191165908
276	0.4190051506
277	0.4189109137
278	0.4188441656
279	0.4187902113
280	0.4186385159
281	0.4185728902
282	0.4185220015
283	0.4184125593
284	0.4183391665
285	0.4182653173
286	0.4181311574
287	0.4180343752
288	0.4179792197
289	0.4179403897
290	0.4178534743
291	0.4177890894
292	0.4176976527
293	0.4176375145
294	0.4175609525
295	0.417489803
296	0.4174476478
297	0.4172938176
298	0.417207715
299	0.4171408958
300	0.4169683996
301	0.4169146432
302	0.4168469531
303	0.4167481457
304	0.4167168182
305	0.4165463388
306	0.4164299712
307	0.416285658
308	0.4161709248
309	0.4161086389
310	0.4160567938
311	0.4159974353
312	0.4158492185
313	0.4157867986
314	0.4156993006
315	0.4155687482
316	0.4154565452
317	0.4153821234
318	0.4152080843
319	0.4151453063
320	0.4149618011
321	0.4149162799
322	0.4148353386
323	0.4147791153
324	0.4147000356
325	0.4145659842
326	0.414427489
327	0.4143378228
328	0.4142398584
329	0.4141819226
330	0.4141311724
331	0.4140453031
332	0.413992373
333	0.4138490799
334	0.4137076127
335	0.4135716998
336	0.4135367686
337	0.4134651199
338	0.4132497427
339	0.4132357389
340	0.4131975407
341	0.4131321343
342	0.4130465393
343	0.4129657261
344	0.4128930664
345	0.4127980084
346	0.4127481981
347	0.4126910409
348	0.4125583735
349	0.4124585271
350	0.4123528732
351	0.4122495191
352	0.4122243797
353	0.4120788754
354	0.412051889
355	0.4119695852
356	0.4118676198
357	0.4117651139
358	0.4116678328
359	0.4116080061
360	0.4115109058
361	0.4114088061
362	0.4113085854
363	0.4112667905
364	0.4112199375
365	0.4111537836
366	0.4111177692
367	0.4110680094
368	0.4109292749
369	0.4108531729
370	0.4107919186
371	0.4107094475
372	0.4105448459
373	0.4104566797
374	0.4104162148
375	0.4103044629
376	0.410244716
377	0.4101851702
378	0.4101259743
379	0.4100078073
380	0.4099144504
381	0.4097566662
382	0.4097278064
383	0.409660486
384	0.4095717277
385	0.4095516189
386	0.4095096631
387	0.4094528936
388	0.409350021
389	0.4093163004
390	0.4092230778
391	0.4091880304
392	0.4090984847
393	0.4090368711
394	0.4089476217
395	0.4088657407
396	0.4088044837
397	0.4087072233
398	0.4085945935
399	0.4085394579
400	0.4084341722
401	0.4084096315
402	0.40833007
403	0.4082781954
404	0.4081941612
405	0.4081425657
406	0.4081083664
407	0.4080525838
408	0.4080033203
409	0.4079158752
410	0.4077704089
411	0.4076962807
412	0.4075749214
413	0.4075288093
414	0.4074744474
415	0.4073759286
416	0.4073265241
417	0.4072899639
418	0.4072547698
419	0.4071617315
420	0.4070975865
421	0.407039962
422	0.4069920784
423	0.4069306523
424	0.4068810117
425	0.4067998676
426	0.4067031615
427	0.4066106755
428	0.4065667764
429	0.4064439316
430	0.4063873676
431	0.4062977968
432	0.4062461896
433	0.4061720814
434	0.4061274622
435	0.4060168435
436	0.4059687406
437	0.4058291127
438	0.40578081
439	0.4056865708
440	0.4056042978
441	0.4055688536
442	0.4055095229
443	0.4054679271
444	0.4053920998
445	0.4053288355
446	0.4052688926
447	0.4051933653
448	0.4050897001
449	0.405005109
450	0.404969187
451	0.4048786811
452	0.4047954418
453	0.404751983
454	0.4046688583
455	0.4046156404
456	0.4045716414
457	0.4044796419
458	0.404452356
459	0.4043684365
460	0.4043211099
461	0.4042682093
462	0.4042241115
463	0.4041817743
464	0.4041003532
465	0.4040475031
466	0.4039033309
467	0.4038202398
468	0.4037549241
469	0.4037440506
470	0.4036288272
471	0.4035848862
472	0.4035223131
473	0.4034807717
474	0.4034447872
475	0.4034018012
476	0.4033370668
477	0.4032420067
478	0.4031594826
479	0.4031000404
480	0.4029976237
481	0.4029262047
482	0.4029009966
483	0.4028395864
484	0.40279764
485	0.4027235761
486	0.4026338636
487	0.4025565911
488	0.4024818214
489	0.4024154378
490	0.402326326
491	0.4022500453
492	0.402179587
493	0.4020890436
494	0.4020250213
495	0.401894964
496	0.4018763385
497	0.4018288691
498	0.4017801902
499	0.4017311678
500	0.4016418728
501	0.401601319
502	0.4015577841
503	0.4015235076
504	0.4014234152
505	0.4013735842
506	0.4013339743
507	0.4012533318
508	0.4011081675
509	0.4010361684
510	0.4009911973
511	0.4009168955
512	0.4008349
513	0.4008020315
514	0.4007084654
515	0.4006551516
516	0.4005849331
517	0.4005175644
518	0.4004491001
519	0.4003766826
520	0.4003135678
521	0.400300533
522	0.4002044815
523	0.4001360007
524	0.400108077
525	0.4000444131
526	0.3999961539
527	0.3999336055
528	0.3998196103
529	0.399748153
530	0.3996983123
531	0.39966845
532	0.3995702775
533	0.3995337749
534	0.3995074925
535	0.3994282859
536	0.399385563
537	0.3993276185
538	0.3992515951
539	0.399196115
540	0.3991031509
541	0.3990383214
542	0.3989636784
543	0.3988731353
544	0.3988178324
545	0.3987356385
546	0.3986677424
547	0.3986482636
548	0.3985904586
549	0.3985487264
550	0.3985177236
551	0.3984509385
552	0.398422906
553	0.3983331111
554	0.3982880658
555	0.3981711734
556	0.3981107809
557	0.3980509999
558	0.3980053617
559	0.3979917386
560	0.3979645658
561	0.3979010325
562	0.3977753104
563	0.3976795255
564	0.3975636295
565	0.3975336162
566	0.3974576555
567	0.3974108163
568	0.3972838177
569	0.3972243096
570	0.3971872085
571	0.3971515643
572	0.3970595168
573	0.3969877331
574	0.3969482969
575	0.3968962421
576	0.3968464932
577	0.396815564
578	0.3967765685
579	0.3967539853
580	0.3967343773
581	0.3966802375
582	0.3966037268
583	0.3965604996
584	0.3965078016
585	0.3964200389
586	0.3963714488
587	0.3962799263
588	0.3962455785
589	0.3961827538
590	0.3961148778
591	0.3960828888
592	0.3959815281
593	0.3959490349
594	0.395915233
595	0.3957970504
596	0.3957625242
597	0.3956800126
598	0.3956175121
599	0.3955223596
600	0.3954390403
601	0.3953448596
602	0.3951992007
603	0.3951005788
604	0.3950432147
605	0.395000923
606	0.3949456467
607	0.3949174896
608	0.3948903242
609	0.3948138287
610	0.394728887
611	0.3946652712
612	0.3945919044
613	0.3945257909
614	0.394464107
615	0.3944257268
616	0.3943646543
617	0.3943239057
618	0.3941751033
619	0.3941511963
620	0.3941128727
621	0.3940631308
622	0.3940192918
623	0.3939361597
624	0.3938559442
625	0.3937979574
626	0.3937176474
627	0.3936833902
628	0.3936498486
629	0.3935127586
630	0.3934746988
631	0.3934242993
632	0.3933619996
633	0.3932720762
634	0.3932192995
635	0.393200094
636	0.3931042428
637	0.3930082417
638	0.3929585931
639	0.3929059284
640	0.3928008293
641	0.3927547366
642	0.3926642396
643	0.3926248684
644	0.3925676832
645	0.3925202135
646	0.3924423103
647	0.3923753351
648	0.3922853083
649	0.392226418
650	0.3920779782
651	0.3920318195
652	0.3919487248
653	0.3918981471
654	0.3917666942
655	0.391726548
656	0.3916763915
657	0.3916272259
658	0.3915908346
659	0.3915544048
660	0.3914571607
661	0.3914315139
662	0.3913991582
663	0.3913188833
664	0.3912580219
665	0.3912107513
666	0.3911662753
667	0.3911310199
668	0.3910381562
669	0.3910219491
670	0.390940412
671	0.3908918338
672	0.3908372953
673	0.390747222
674	0.3906837345
675	0.3905918416
676	0.3905320844
677	0.3904821274
678	0.3904316524
679	0.3903666078
680	0.3902782718
681	0.3901675717
682	0.3901290533
683	0.3900833973
684	0.3900372155
685	0.3899868728
686	0.3899016566
687	0.3897653451
688	0.3897130532
689	0.3896700315
690	0.3896051197
691	0.3895325582
692	0.3894728251
693	0.3893903627
694	0.3892997986
695	0.389266891
696	0.3891575008
697	0.3890506687
698	0.3889617642
699	0.388870194
700	0.3888242707
701	0.388797419
702	0.3887066002
703	0.3886435431
704	0.3885967347
705	0.3885763069
706	0.3885373887
707	0.3884646955
708	0.3884063664
709	0.3883599186
710	0.3882717464
711	0.3882094435
712	0.3881728511
713	0.3881248903
714	0.3880948224
715	0.3880709588
716	0.3880383584
717	0.3880003022
718	0.3879805965
719	0.3878654775
720	0.3878033967
721	0.3877306554
722	0.3876624977
723	0.3876245863
724	0.3875698875
725	0.3874787353
726	0.3873571964
727	0.3873119222
728	0.3872616606
729	0.3872021151
730	0.3871404603
731	0.3870352352
732	0.3869591748
733	0.3868946414
734	0.38681154
735	0.3867652515
736	0.3866804709
737	0.3865863651
738	0.3864837588
739	0.386378927
740	0.386314605
741	0.3862720654
742	0.3861882247
743	0.3861385908
744	0.3860893135
745	0.3860442597
746	0.3859831296
747	0.3859667058
748	0.3859118024
749	0.3858745494
750	0.385810465
751	0.3857045257
752	0.3856187387
753	0.3855599149
754	0.3854813942
755	0.3853886826
756	0.385314813
757	0.3852519258
758	0.3851582383
759	0.3850739684
760	0.3849947515
761	0.384937093
762	0.3848290383
763	0.3847455463
764	0.3846610176
765	0.3846230207
766	0.3845735914
767	0.3844766135
768	0.3844411501
769	0.384309904
770	0.3842728569
771	0.384191528
772	0.3841345085
773	0.3841108518
774	0.3840659673
775	0.3839794006
776	0.3839282724
777	0.3838604749
778	0.3838483949
779	0.3838071106
780	0.3837776008
781	0.3837531745
782	0.3836370728
783	0.3835891417
784	0.3835479736
785	0.3834674174
786	0.383401426
787	0.3833818036
788	0.383291843
789	0.3832455467
790	0.3832115467
791	0.3831800001
792	0.3831012033
793	0.3830723034
794	0.3830201716
795	0.382929221
796	0.3828509163
797	0.3827811287
798	0.382744523
799	0.3826751536
800	0.3826256396
801	0.382588283
802	0.3824894484
803	0.3824458656
804	0.3824068525
805	0.3823594093
806	0.3823122278
807	0.3822756159
808	0.3822505858
809	0.38220649
810	0.3821563424
811	0.382102344
812	0.3819950885
813	0.3818986407
814	0.381814301
815	0.3817311138
816	0.3816833084
817	0.3816157944
818	0.3815641216
819	0.3814884715
820	0.381412553
821	0.381346088
822	0.3813153823
823	0.381290604
824	0.3812245578
825	0.381194992
826	0.3811361224
827	0.3811054032
828	0.3810775677
829	0.3809852503
830	0.3809627953
831	0.3809106153
832	0.3808097427
833	0.3807902774
834	0.3807480265
835	0.3807125545
836	0.3806917768
837	0.3806058705
838	0.3805078967
839	0.3804107093
840	0.3803084691
841	0.3802745659
842	0.3802487647
843	0.3802006065
844	0.3801304138
845	0.3801073092
846	0.3800551557
847	0.3800187796
848	0.3799350326
849	0.3799107569
850	0.3798789412
851	0.3797818217
852	0.3797232192
853	0.3796823782
854	0.3796273219
855	0.3795221542
856	0.3794695942
857	0.3793778542
858	0.3793378378
859	0.3792866481
860	0.3792174672
861	0.3791911106
862	0.3791615841
863	0.3791299544
864	0.3790338802
865	0.3789887754
866	0.3789284868
867	0.3788536381
868	0.3787856633
869	0.3787621734
870	0.378692506
871	0.3786396267
872	0.37858383
873	0.3785660177
874	0.378510857
875	0.3784525436
876	0.3784043457
877	0.3783593586
878	0.3782954645
879	0.3782614759
880	0.3782183544
881	0.378176737
882	0.3781404362
883	0.3780767296
884	0.3780456907
885	0.3780050494
886	0.3779916032
887	0.3779131666
